PMA_PMN_NUM,rpss,rpss_category,recall_count,total_adverse_events,unique-manufacturers,device_class,root_cause_description,last_scored,device_name
P020004,0.900143407,Critical,173,17980755,0,3,Other,2:35:19 AM,"System, Endovascular Graft, Aortic Aneurysm Treatment"
K213919,0.840102406,Critical,17,2891785,0,2,Software design,2:35:19 AM,Dexcom G7 Continuous Glucose Monitoring System
P110042,0.802357723,Critical,217,74278960,0,3,Device Design,2:35:19 AM,Implantable Cardioverter Defibrillator (Non-Crt)
K113369,0.796261845,Critical,978,227874,0,2,Manufacturing material removal,2:35:19 AM,ZIMMER PERSONA KNEE SYSTEM
K160167,0.787222685,Critical,671,130845,0,2,Nonconforming Material/Component,2:35:19 AM,DePuy Synthes TFNA Augmentation System
K143242,0.765263614,Critical,979,187968,0,2,Manufacturing material removal,2:35:19 AM,Rebel 3DKNEE System
P040043,0.7652142,Critical,173,5849130,0,3,Other,2:35:19 AM,"System, Endovascular Graft, Aortic Aneurysm Treatment"
K022632,0.762623018,Critical,671,114741,0,2,Nonconforming Material/Component,2:35:19 AM,SIGN IM NAIL
K173057,0.740355136,High,978,164304,0,2,Manufacturing material removal,2:35:19 AM,Zimmer Knee Joint Replacement Prostheses MR Labeling
K032854,0.730185462,High,979,9251550,0,2,Process control,2:35:19 AM,UNOMEDICAL MONICA INFUSION SET
P040002,0.719963433,High,173,1768752,0,3,Other,2:35:19 AM,"System, Endovascular Graft, Aortic Aneurysm Treatment"
DEN170088,0.718428655,High,17,1133781,0,2,Software design,2:35:19 AM,Dexcom G6 Continuous Glucose Monitoring System
K211609,0.71666222,High,978,135942,0,2,Manufacturing material removal,2:35:19 AM,ATTUNE Medial Stabilized (MS) Fixed Bearing (FB) Insert
K183639,0.71105379,High,178,356,0,2,Device Design,2:35:19 AM,Mariner Outrigger Revision System
P020018,0.71044578,High,173,918111,0,3,Other,2:35:19 AM,"System, Endovascular Graft, Aortic Aneurysm Treatment"
K202022,0.708390303,High,978,125184,0,2,Manufacturing material removal,2:35:19 AM,GMK-SPHERE Tibial inserts FLEX Tibial Insert CR and Resurfacing Patella made of E-CROSS (Vitamin E Highly Crosslinked UHMWPE)
K131225,0.701960449,High,617,1234,0,2,Device Design,2:35:19 AM,ADROIT GUIDING CATHETER
P070007,0.701455489,High,173,78888,0,3,Other,2:35:19 AM,"System, Endovascular Graft, Aortic Aneurysm Treatment"
